lon,lat,t,anom
182.875,-54.375,2018-01-27,1.1299999952316284
183.125,-54.375,2018-01-27,1.2599999904632568
183.375,-54.375,2018-01-27,1.3700000047683716
183.625,-54.375,2018-01-27,1.399999976158142
183.875,-54.375,2018-01-27,1.350000023841858
184.125,-54.375,2018-01-27,1.2799999713897705
184.375,-54.375,2018-01-27,1.1799999475479126
184.625,-54.375,2018-01-27,1.1100000143051147
286.625,-54.375,2018-01-27,1.1799999475479126
286.875,-54.375,2018-01-27,1.659999966621399
287.125,-54.375,2018-01-27,1.9800000190734863
287.375,-54.375,2018-01-27,1.9199999570846558
293.375,-54.375,2018-01-27,1.090000033378601
305.375,-54.375,2018-01-27,1.0499999523162842
305.625,-54.375,2018-01-27,1.1100000143051147
305.875,-54.375,2018-01-27,1.0800000429153442
312.375,-54.375,2018-01-27,1.0099999904632568
312.625,-54.375,2018-01-27,1.0399999618530273
312.875,-54.375,2018-01-27,1.0199999809265137
316.625,-54.375,2018-01-27,1.1399999856948853
316.875,-54.375,2018-01-27,1.409999966621399
317.125,-54.375,2018-01-27,1.4600000381469727
317.375,-54.375,2018-01-27,1.2799999713897705
319.125,-54.375,2018-01-27,1.0800000429153442
319.375,-54.375,2018-01-27,1.149999976158142
319.625,-54.375,2018-01-27,1.1299999952316284
319.875,-54.375,2018-01-27,1.149999976158142
320.125,-54.375,2018-01-27,1.059999942779541
123.125,-54.125,2018-01-27,1.1200000047683716
123.375,-54.125,2018-01-27,1.2599999904632568
123.625,-54.125,2018-01-27,1.25
123.875,-54.125,2018-01-27,1.149999976158142
148.875,-54.125,2018-01-27,1.0499999523162842
149.125,-54.125,2018-01-27,1.1100000143051147
149.375,-54.125,2018-01-27,1.0499999523162842
161.875,-54.125,2018-01-27,1.0199999809265137
164.375,-54.125,2018-01-27,1.0199999809265137
164.625,-54.125,2018-01-27,1.159999966621399
164.875,-54.125,2018-01-27,1.2100000381469727
165.125,-54.125,2018-01-27,1.1100000143051147
167.125,-54.125,2018-01-27,1.1100000143051147
167.375,-54.125,2018-01-27,1.1699999570846558
