Date,Severity,Size,Intensity
2017-11-09,S1,208097.87426597538,307864.2218991664
2017-11-09,S2,19614.795764496852,47629.79021950727
2017-11-10,S1,161962.6114871916,249847.9413393008
2017-11-10,S2,21680.75760897305,56012.531438813516
2017-11-11,S1,153927.27691344524,235884.7142614298
2017-11-11,S2,20624.657829471962,51180.72783375538
2017-11-12,S1,392281.04799761367,668757.271784981
2017-11-12,S2,9876.130400382317,23529.119861302694
2017-11-13,S1,522988.2404727542,871345.2459305052
2017-11-13,S2,16450.70036908503,40054.97134388258
2017-11-14,S1,637802.9710562349,1057823.0482573442
2017-11-14,S2,17602.988842432747,47668.70722856359
2017-11-15,S1,537325.5874328119,919726.0972815495
2017-11-15,S2,31485.921021952025,83203.01336852496
2017-11-16,S1,1740821.9178190639,2897677.945218291
2017-11-16,S2,214366.7050415759,533221.0332726844
2017-11-17,S1,1687291.504020868,3029768.9242574605
2017-11-17,S2,304194.7561056314,776634.0457779878
2017-11-18,S1,2185816.6240743743,4108771.5242862334
2017-11-18,S2,460678.1456529631,1166388.474618325
2017-11-19,S1,2842564.693052161,5577392.961613143
2017-11-19,S2,1048444.8417423769,2829725.938112706
2017-11-20,S1,3205840.6266464074,6384600.031828379
2017-11-20,S2,1125253.8797552218,3114315.2408776134
2017-11-21,S1,3908299.047486407,7724956.7643124135
2017-11-21,S2,1152777.9025243998,3250999.878626371
2017-11-22,S1,4182124.472622166,8238112.899325954
2017-11-22,S2,1363706.4154083636,3784427.1888317363
2017-11-23,S1,4274880.5718689365,8421378.416860107
2017-11-23,S2,1336327.246378421,3719993.9896272304
2017-11-24,S1,4622917.53348617,9131175.029823743
2017-11-24,S2,1292096.9392796266,3564323.03311262
2017-11-25,S1,4884402.1623930875,10030724.274086434
2017-11-25,S2,2033578.2655607285,5566823.512328327
2017-11-26,S1,5525129.315217492,11338462.917804884
2017-11-26,S2,2355773.2692297255,6384994.261480389
2017-11-27,S1,5970079.60167842,12333637.679273877
2017-11-27,S2,2519644.6046987246,6951495.2530691875
2017-11-28,S1,6896506.394267558,14454340.788332595
2017-11-28,S2,3080135.9368117508,8681619.586490568
2017-11-29,S1,7394472.711150083,16410369.298871383
2017-11-29,S2,3624184.428215845,10696410.279742701
2017-11-30,S1,7398695.75730891,16493756.550359258
2017-11-30,S2,3570258.784351511,10724264.923622807
2017-12-01,S1,7330793.149920657,16227045.359434554
2017-12-01,S2,3362016.6948191077,10159708.707027936
2017-12-02,S1,7250123.940011509,15531895.052337363
2017-12-02,S2,3093790.4917382924,9142392.456759939
2017-12-03,S1,7646967.871417386,16077546.811010798
2017-12-03,S2,2879017.446521882,8677303.781266442
2017-12-04,S1,8018553.517200175,17047348.59319076
2017-12-04,S2,3146912.442392922,9352742.014599873
2017-12-05,S1,8264914.363396413,17683638.887089
2017-12-05,S2,3131855.6327449456,9465332.087713692
2017-12-06,S1,9141061.572205113,18755356.328629073
2017-12-06,S2,3007578.8579625282,9262025.724664882
2017-12-07,S1,9443769.87394624,19088352.379506893
2017-12-07,S2,2948961.5229749726,9109752.077514205
2017-12-08,S1,9424997.064279452,18979143.78457639
2017-12-08,S2,3037718.0360760055,9353319.917784145
2017-12-09,S1,9347840.245223166,18331231.068832986
2017-12-09,S2,2703081.6915474655,8575927.917337865
2017-12-10,S1,7128889.052306233,15187162.14381074
2017-12-10,S2,2689282.299021312,8559553.755349636
2017-12-11,S1,7448293.736921127,15826109.912367111
2017-12-11,S2,2776407.288339772,8871696.203578107
2017-12-12,S1,7949480.645746005,16810887.238721557
2017-12-12,S2,2963798.557418991,9203143.074644763
2017-12-13,S1,7612073.39586974,16203731.912792625
2017-12-13,S2,2278770.3602292696,7222909.836791833
2017-12-14,S1,7493350.296264732,16041112.949280372
2017-12-14,S2,3051858.4867169443,9472956.57909519
2017-12-15,S1,7074803.613323582,15917030.781314373
2017-12-15,S2,3212559.814861169,10178400.438614815
2017-12-16,S1,7030620.8401735155,16184856.22808583
2017-12-16,S2,3350229.4430713295,10670743.91894199
2017-12-17,S1,6868688.995177292,15974212.382483821
2017-12-17,S2,3526858.927636953,10973014.608732594
2017-12-18,S1,6973002.068473526,15935665.768346561
2017-12-18,S2,3378925.206265942,10360127.985151725
2017-12-19,S1,6746119.777451651,14793912.370213829
2017-12-19,S2,2507597.473465113,7839876.332358221
2017-12-20,S1,6145271.681415568,13572928.41564362
2017-12-20,S2,2510290.562201974,7814191.469841547
2017-12-21,S1,6464910.140941586,14094815.317652522
2017-12-21,S2,2629297.804248788,8104117.175095279
2017-12-22,S1,6875293.646976362,15224260.38346564
2017-12-22,S2,2778659.4358632015,8712156.67986585
2017-12-23,S1,7095915.990291891,16061632.995517509
2017-12-23,S2,2914172.877220201,9194292.91223242
2017-12-24,S1,7408801.754544928,16594828.087436788
2017-12-24,S2,3549469.5825406536,10696982.244764935
2017-12-25,S1,7782984.371213412,16527971.18862795
2017-12-25,S2,3020751.118477977,8732487.28652122
2017-12-26,S1,7858809.332251718,15622422.329050288
2017-12-26,S2,2094002.400368615,6147920.318328502
2017-12-27,S1,7662287.066552127,15102023.75046377
2017-12-27,S2,2083000.0374223762,6145592.385794443
2017-12-28,S1,7589910.160896551,15069446.873576675
