lon,lat,year,max_intensity
151.375,-49.625,1989,85.5265
151.375,-49.375,2016,95.7271
151.375,-49.125,2016,113.3853
151.375,-48.875,2016,96.7956
151.375,-48.625,2016,86.2554
151.375,-48.375,2013,104.6538
151.375,-48.125,2013,129.9553
151.375,-47.875,1989,134.5032
151.375,-47.625,1989,180.2996
151.375,-47.375,1989,233.6446
151.375,-47.125,2015,179.1961
151.375,-46.875,2018,177.6592
151.375,-46.625,2013,208.8948
151.375,-46.375,2016,424.2456
151.375,-46.125,2016,354.6456
151.375,-45.875,2016,343.0061
151.375,-45.625,2016,325.6494
151.375,-45.375,2016,253.3876
151.375,-45.125,2016,230.8498
151.375,-44.875,2016,228.7743
151.375,-44.625,2016,190.7808
151.375,-44.375,2016,211.5584
151.375,-44.125,2016,199.3833
151.375,-43.875,2016,197.2815
151.375,-43.625,2019,330.3391
151.375,-43.375,2019,323.56
151.375,-43.125,2016,311.2936
151.375,-42.875,2016,644.145
151.375,-42.625,2016,431.8054
151.375,-42.375,2016,426.0233
151.375,-42.125,2016,410.4473
151.375,-41.875,2015,179.8345
151.375,-41.625,2014,200.04
151.375,-41.375,2014,306.6325
151.375,-41.125,2014,291.9412
151.375,-40.875,2014,272.7481
151.375,-40.625,2014,274.6292
151.375,-40.375,2017,259.8299
151.375,-40.125,2017,282.1271
151.375,-39.875,2017,270.7607
151.375,-39.625,2017,274.7522
151.375,-39.375,2017,266.7572
151.375,-39.125,2016,339.2545
151.375,-38.875,2016,256.2763
151.375,-38.625,2016,223.9779
151.375,-38.375,2016,207.2897
151.375,-38.125,2000,187.7979
151.375,-37.875,2014,204.7102
151.375,-37.625,2014,205.6625
151.375,-37.375,2014,186.7008
151.375,-37.125,2016,227.3481
151.375,-36.875,2016,232.5871
151.375,-36.625,2014,180.0628
151.375,-36.375,2014,176.1903
151.375,-36.125,1998,151.4298
151.375,-35.875,1998,161.1462
151.375,-35.625,2014,258.4145
151.375,-35.375,2014,182.8795
151.375,-35.125,2014,204.76
151.375,-34.875,2014,198.1523
151.375,-34.625,2014,174.7203
151.375,-34.375,1998,167.0464
151.375,-34.125,2015,168.4581
151.375,-33.875,2001,155.3968
151.375,-33.625,2001,113.9216
151.625,-54.875,2013,90.597
151.625,-54.625,2013,90.9209
151.625,-54.375,2013,70.6167
151.625,-54.125,2009,71.7763
151.625,-53.875,2020,111.6729
151.625,-53.625,2020,134.5967
151.625,-53.375,2002,132.184
151.625,-53.125,2002,120.2826
151.625,-52.875,2002,113.7025
151.625,-52.625,2002,116.555
151.625,-52.375,2002,109.4248
151.625,-52.125,2002,96.9679
151.625,-51.875,2014,78.7005
151.625,-51.625,1986,72.8731
151.625,-51.375,2018,78.0564
151.625,-51.125,2018,107.1838
151.625,-50.875,2018,112.3338
151.625,-50.625,1989,87.9456
151.625,-50.375,2017,98.6468
151.625,-50.125,1989,102.6194
151.625,-49.875,2017,168.3667
151.625,-49.625,2017,128.6568
151.625,-49.375,2016,120.3747
151.625,-49.125,2016,103.6637
151.625,-48.875,2012,154.2574
